"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"IL36G",56.9641991631259,2.42373571859187,0.263367570317892,6.41449721923059e-21,9.84946048012857e-17,TRUE
"IL1A",1383.70492339449,3.14049457916214,0.428355816562029,6.55525242434022e-19,3.35519669919147e-15,TRUE
"SOD2",1895.32983783311,1.54609867075429,0.181641425727818,4.52150588088653e-19,3.35519669919147e-15,TRUE
"IRAK2",689.172454132888,1.70011125550067,0.208101255857393,1.73599908345655e-18,6.66406648161882e-15,TRUE
"BCL2A1",95.0341443715552,2.21672029447733,0.289802804851381,1.0627873955819e-17,3.26382009183202e-14,TRUE
"ANXA8L1",104.162574258227,-0.00535982495952349,0.254166998093137,1.80211238162024e-16,4.61190593662981e-13,TRUE
"BIRC3",916.275869261304,1.62708858503883,0.212486574515768,2.61786358876975e-16,5.29538702571923e-13,TRUE
"MX1",1057.24579691073,2.79824189927383,0.369899329635031,2.75891215928062e-16,5.29538702571923e-13,TRUE
"SAMD9L",353.910038351563,1.7304669004675,0.243569461694049,7.80340160727997e-16,1.33134701866427e-12,TRUE
"SAMD4A",355.809931860377,1.19715436682151,0.158578262410833,1.01301775115873e-15,1.55548875690423e-12,TRUE
"PARP9",748.438140815882,1.42060464948803,0.192745612141675,1.21170393169731e-15,1.69142853374656e-12,TRUE
"ANXA8",66.7334519908395,-0.00532491202384636,0.254167030653041,2.68444084298907e-15,3.4349657620081e-12,TRUE
"TRIM25",1516.22248519441,0.849143910688315,0.114854800318212,3.928864850705e-15,4.64059382942887e-12,TRUE
"CXCL3",902.721395568728,1.37010721717626,0.279846579676975,5.7501975992874e-15,6.30673458121843e-12,TRUE
"DRAM1",662.545179668367,0.989442465715369,0.134985713943056,1.99195365371085e-14,2.03909655684867e-11,TRUE
"XDH",231.816201466062,1.04071655320011,0.142887907012208,2.70670563192913e-14,2.59759156114199e-11,TRUE
"DTX3L",766.409165319079,1.28306340512508,0.189739132220168,6.35805519264377e-14,5.49835635466558e-11,TRUE
"IL6",303.585748961431,3.17912215533311,0.511385365069046,6.445484492607e-14,5.49835635466558e-11,TRUE
"DDX58",585.524208762202,1.3355895572232,0.202524060643751,1.39390118529501e-13,1.1264922473792e-10,TRUE
"PTX3",49.0296770390148,2.85589026522185,0.414691708349732,1.49800883361223e-13,1.15009628200579e-10,TRUE
"BPGM",485.2101646429,0.692262220413152,0.098898752081852,1.57488809643229e-13,1.15154317717704e-10,TRUE
"DDX60",455.448187187749,1.80198651548206,0.273205718965588,2.0720763574062e-13,1.44621511218055e-10,TRUE
"CCL20",497.426919419571,1.53785507755119,0.480678899308277,2.36286390892498e-13,1.577468492241e-10,TRUE
"SDC4",3356.7955553592,0.819216959251245,0.118152850384134,2.48988212553111e-13,1.59300583489709e-10,TRUE
"CDCP1",1707.08465105136,1.30319022165959,0.192915610778957,7.60450659038861e-13,4.67068794781668e-10,TRUE
"ICAM1",3659.90456629508,2.62392245103694,0.411378955642133,2.57669901135671e-12,1.52173897382239e-09,TRUE
"HERC6",256.575925211085,1.04587556185322,0.163705455655027,3.19259952928858e-12,1.7507987775795e-09,TRUE
"NFKB1",736.524252520455,0.787628851850074,0.121320103592513,3.13469745715882e-12,1.7507987775795e-09,TRUE
"STAT1",3429.69874291673,1.17736499644282,0.189940691223474,3.83755335859949e-12,2.03191833866535e-09,TRUE
"HBEGF",309.718838614889,1.32703801643722,0.216906805854543,8.41496561291371e-12,4.307059899543e-09,TRUE
"MAFF",542.757249747589,1.07735420054828,0.172112623044143,9.87711229919647e-12,4.89235675336006e-09,TRUE
"PLSCR1",2082.14583568174,0.872269937091232,0.136903779269414,1.14473552222814e-11,5.49294185744161e-09,TRUE
"C15orf48",841.173053921841,1.61628225383953,0.253666325206466,1.27345715180917e-11,5.92543471697875e-09,TRUE
"STC2",972.496574558755,1.96322887537409,0.333345135691092,1.44224330464644e-11,6.50202010745339e-09,TRUE
"PLAT",1204.75244218446,1.26941010504647,0.212155619485334,1.48206254484447e-11,6.50202010745339e-09,TRUE
"CLDN1",2812.34913466434,0.875978012143009,0.139129667129387,1.70122992337812e-11,7.25621818707528e-09,TRUE
"SLC11A2",691.88416361776,0.529731011717608,0.0826867155762865,2.15687441733712e-11,8.95102883194905e-09,TRUE
"IFNAR2",361.710853564051,0.603318576388862,0.0957125838389078,3.65880695131326e-11,1.47844686151092e-08,TRUE
"NKX3-1",117.951142887784,1.04407037560127,0.17489359486509,3.91861877520609e-11,1.54283054598178e-08,TRUE
"GTPBP2",1017.99369077078,0.750262510694151,0.122397923256747,5.30566460044982e-11,2.03671199849768e-08,TRUE
"IFIH1",842.669937197582,1.59920403453205,0.295755365998209,6.37750208015434e-11,2.3315843914469e-08,TRUE
"CSF2",92.433564062406,2.86796927817379,0.568217945647722,6.31345494238802e-11,2.3315843914469e-08,TRUE
"ULBP1",94.4126395364552,2.01991458834271,0.354428016191537,7.41995822430827e-11,2.64961531475008e-08,TRUE
"SERPINE1",13574.3099154583,2.13171488388394,0.414749497127221,1.07491477779429e-10,3.75120827568894e-08,TRUE
"GBP1",410.249056516,1.6821096278978,0.320003420545279,1.73834436804616e-10,5.93161728252196e-08,TRUE
"IL1B",1385.47665520791,1.84209312919504,0.354586389447372,2.42825782603428e-10,8.10563019972965e-08,TRUE
"MPC2",880.544880912429,-0.794457385583038,0.135472993323856,4.59470296173373e-10,1.50109923356216e-07,TRUE
"SLFN5",1154.25273175103,1.54774691327042,0.291627346548329,4.84176476562521e-10,1.51900655541224e-07,TRUE
"SGK2",108.787723479384,-0.978622973593747,0.167284120090381,4.84736706057959e-10,1.51900655541224e-07,TRUE
"RAB40B",164.141667535043,-0.726789127825578,0.126062442474528,7.79694827970623e-10,2.39444281669778e-07,TRUE
"TNIP1",3628.01467909397,0.862371731418984,0.151918458446009,8.14596411063257e-10,2.45257409644634e-07,TRUE
"ALDH1L2",195.149230363141,1.91724523921684,0.368976946224181,9.35337793353307e-10,2.76194458018077e-07,TRUE
"RASGRP1",79.5986828804393,1.25854746350029,0.227684098421705,1.12853061017687e-09,3.26954481495583e-07,TRUE
"PLAU",7631.18570757845,1.02010504992374,0.181294901050201,1.15770488418368e-09,3.29195527715563e-07,TRUE
"DDX60L",518.200731616121,1.40560443758938,0.281941768502788,1.29675921006867e-09,3.6203159401099e-07,TRUE
"DANCR",293.097482050019,-0.986325915504639,0.175134653055543,1.38754304039108e-09,3.80459346164375e-07,TRUE
"TIPARP",1564.24360494008,1.60181699272178,0.316917754126275,1.44988412349846e-09,3.90578433619629e-07,TRUE
"CHST11",517.442291525473,0.698548707837612,0.122804875104547,1.50767780275557e-09,3.99144701057099e-07,TRUE
"TNFAIP3",1166.80646952053,1.88233885391849,0.413193023119571,1.93738905529982e-09,5.04213710917437e-07,TRUE
"PDGFB",434.324749074912,1.37756481772422,0.252764455777245,1.98757126520662e-09,5.08652612954127e-07,TRUE
"OAS3",2643.56071107792,1.47172840211795,0.285122206735841,2.08686661601814e-09,5.25308801458336e-07,TRUE
"TNFAIP2",5739.44001182318,1.35480616385544,0.274528433510544,2.16220324008058e-09,5.3549404437802e-07,TRUE
"ZC3H12C",231.941412412111,1.18353525502705,0.221196997097226,2.26894657476666e-09,5.53010708818128e-07,TRUE
"LAMC2",36798.1980670304,1.67657543456816,0.315614875370887,2.61365782023941e-09,6.27073684840252e-07,TRUE
"OSMR",2115.21147942869,0.865958748374064,0.156484005354225,2.74263566209437e-09,6.38078342294835e-07,TRUE
"NFE2L3",980.550224759597,0.736636073660385,0.133618720532209,2.7022011438152e-09,6.38078342294835e-07,TRUE
"EGOT",29.6111545493817,2.35413563206663,0.461021709049096,3.5375233087997e-09,8.10726423979393e-07,TRUE
"CRYM",27.3233957526196,-1.45242880444082,0.268313885426958,4.40272828904291e-09,9.94174895268439e-07,TRUE
"ETS1",917.412279773403,1.09448788117665,0.208803424727538,4.5888276479751e-09,1.02118041354576e-06,TRUE
"PARP14",1101.20540630716,1.17142124068164,0.236680150285909,4.91977715484082e-09,1.07918826017973e-06,TRUE
"VIL1",40.8146554644252,-3.0723605935197,0.39300643910737,6.29062687929091e-09,1.36045881311989e-06,TRUE
"TLR2",60.7697829807038,1.18765603118026,0.21911690098594,6.47159205453135e-09,1.38015688885179e-06,TRUE
"RND3",1816.87118572001,1.02415721720864,0.199211824821402,7.22266970894911e-09,1.51923415590292e-06,TRUE
"L1CAM",346.611534433507,0.936819578564942,0.177570640838947,7.94456222354263e-09,1.6484966613851e-06,TRUE
"RAP1GAP",585.728984860952,-1.03198163326225,0.201140820442333,8.37847758399222e-09,1.68340794331198e-06,TRUE
"TMPO-AS1",70.3401187602355,-1.04471590811927,0.197710995619469,8.44170704233296e-09,1.68340794331198e-06,TRUE
"NCOA7",1297.26874093732,1.14139699661593,0.235509877718215,8.33076351228023e-09,1.68340794331198e-06,TRUE
"KIF21B",129.806253610256,1.08071213224116,0.21244887717336,9.47548226215768e-09,1.86533371968502e-06,TRUE
"DUOX2",48.8202842431222,1.83452803013284,0.394114986736539,1.00082540846832e-08,1.94527520848494e-06,TRUE
"ROCK1P1",17.6693901157779,2.22175652654532,0.461707832795707,1.03223573564642e-08,1.98124746510635e-06,TRUE
"TRIM36",32.224924733176,1.23701506229563,0.238890941944023,1.04942944914879e-08,1.98938138168885e-06,TRUE
"TRIM14",513.875258532177,0.942995433070126,0.18656889285173,1.23043107810861e-08,2.30405722004362e-06,TRUE
"GK",95.2352372309716,0.743199082574344,0.140348485370403,1.27134829946738e-08,2.35199435401466e-06,TRUE
"IFI16",1293.42897675044,1.20860300481597,0.259808355747608,1.44650739007213e-08,2.64418106839971e-06,TRUE
"N4BP1",820.984997237208,0.686560301562548,0.136947064442347,1.628014300453e-08,2.94095995099481e-06,TRUE
"GBP3",636.449287995831,1.05264209657041,0.207421101786896,1.78797031332371e-08,3.18296796018422e-06,TRUE
"SP100",1078.10122024834,0.857903070163842,0.177836765258599,1.8034400034909e-08,3.18296796018422e-06,TRUE
"CXCL6",348.099760909074,1.00554730860812,0.192560232287449,1.89276982014144e-08,3.30266824866726e-06,TRUE
"HMGN2P46",18.2638303382188,2.2991357601427,0.453087332625499,2.00025554730439e-08,3.41265821431765e-06,TRUE
"GARS",2879.05530460549,0.708650328641608,0.137703824508983,1.9995257178004e-08,3.41265821431765e-06,TRUE
"KYNU",3045.26343064153,0.629016244349805,0.124231024828415,2.45616780556477e-08,4.14444578620297e-06,TRUE
"ADM2",89.5636259144512,2.03330262975433,0.421084553733476,2.54440634089035e-08,4.24666949612732e-06,TRUE
"EPSTI1",111.923241277546,2.15591747636212,0.493372305222354,2.72089585332332e-08,4.44461232210422e-06,TRUE
"ADH6",23.4120795168254,-3.02787748566099,0.668569440954433,2.71122780735699e-08,4.44461232210422e-06,TRUE
"TDRD7",456.431156987014,0.840657985199484,0.173304965738266,2.79769400626755e-08,4.52195699644613e-06,TRUE
"SEMA4B",2592.4243611671,0.575730860599714,0.110022103616037,2.89119828962044e-08,4.56508643202778e-06,TRUE
"PRDM1",120.710150292096,1.26396015918465,0.275923718899627,2.91356867690474e-08,4.56508643202778e-06,TRUE
"SAT1",8004.14057913116,1.04432965209923,0.210803837125771,2.87146626605619e-08,4.56508643202778e-06,TRUE
"SAMD9",1473.44249233316,1.19310867754249,0.258722232821911,2.97878836707424e-08,4.62013084610353e-06,TRUE
"PGLYRP4",23.9120488709843,1.63510236248507,0.30625644346558,3.95111379290932e-08,6.06693522901226e-06,TRUE
"AOX1",130.854174726266,0.913951217803457,0.187638854667811,4.01381696851394e-08,6.10219401500313e-06,TRUE
"ITGA5",1857.83497026864,0.713647443604952,0.14056617518901,4.8228714241379e-08,7.26031281545465e-06,TRUE
"BMPER",58.3164744786526,1.47574581113363,0.304674878274779,4.90215731801316e-08,7.30802190466913e-06,TRUE
"C1R",730.155774963228,1.235919790826,0.258851308810714,5.07217524499422e-08,7.48877412373906e-06,TRUE
"CES2",968.009162608489,-0.406112173691626,0.078067362536807,5.25157645225481e-08,7.67980537374978e-06,TRUE
"TMEM156",388.079624370076,0.937634943471,0.193686720221174,5.89222083543004e-08,8.53538216302154e-06,TRUE
"FUT1",57.1786352319148,2.27286029515094,0.519985311345067,6.04824517918027e-08,8.67951446040309e-06,TRUE
"AMPD3",193.264032138191,1.1777591830142,0.240526878499964,6.46455202382894e-08,9.19103669684198e-06,TRUE
"INHBA",531.161425432511,1.67926353793653,0.371027714115509,6.60191079208607e-08,9.30021469839281e-06,TRUE
"CDV3",2557.1557219171,0.463953447274718,0.091128435473964,6.79676928886919e-08,9.48767203914421e-06,TRUE
"CYTH1",870.37814924524,0.598075862020251,0.119626323499184,6.98568006950437e-08,9.66352409614771e-06,TRUE
"FAM129A",267.771623700089,1.74821118731759,0.381802800018964,7.45647961291786e-08,1.01894024066225e-05,TRUE
"ADRB2",313.68589140826,1.05545388112324,0.233197666800829,7.49855077791174e-08,1.01894024066225e-05,TRUE
"H1F0",2885.11716542166,0.755959148570601,0.15535458106487,7.69782308940228e-08,1.03684275033133e-05,TRUE
