"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009617","response to bacterium","36/168","496/12916",0.0725806451612903,5.58006912442396,11.9407853558467,1.74663978243931e-17,5.34646437404671e-14,3.82054470306198e-14,"ABCA1/AKAP12/CCL20/CD274/CSF2/CXCL5/CXCL6/CYP1A1/FGF19/GBP1/GBP3/GBP5/HERC6/IKZF3/IL1A/IL1B/IL36G/IL6/IL7R/IRAK2/KMO/NFKBIZ/NLRP1/NLRP3/OAS1/OAS3/PGLYRP4/PTAFR/SERPINE1/SOD2/TLR2/TNF/TNFAIP3/TNFRSF1B/TNIP3/TREM1",36
"GO:0051607","defense response to virus","27/168","271/12916",0.0996309963099631,7.65972588297312,12.7192762865047,1.1877912986961e-16,1.81791458265438e-13,1.29906858878447e-13,"APOBEC3G/DDX60/DDX60L/DTX3L/GBP1/GBP3/GBP5/HERC5/IFI16/IFIH1/IFIT1/IFIT3/IL1B/IL6/IRF7/IRF9/MX1/MX2/NLRP1/OAS1/OAS3/PARP9/RTP4/STAT1/TLR2/TNF/TNFAIP3",27
"GO:0009615","response to virus","30/168","357/12916",0.0840336134453782,6.46058423369348,12.0109264454234,2.29209458617835e-16,2.33870050943065e-13,1.67121843862408e-13,"APOBEC3G/CCL5/DDX60/DDX60L/DTX3L/DUOX2/GBP1/GBP3/GBP5/HERC5/IFI16/IFIH1/IFIT1/IFIT3/IL1B/IL6/IRF7/IRF9/MX1/MX2/NLRP1/NLRP3/OAS1/OAS3/PARP9/RTP4/STAT1/TLR2/TNF/TNFAIP3",30
"GO:0071222","cellular response to lipopolysaccharide","22/168","172/12916",0.127906976744186,9.83361018826135,13.3884527879547,5.0675374529216e-16,3.87793303584826e-13,2.77114284925555e-13,"ABCA1/CD274/CSF2/CXCL5/CXCL6/GBP3/GBP5/IL1A/IL1B/IL36G/IL6/IRAK2/KMO/NFKBIZ/NLRP3/PTAFR/SERPINE1/TLR2/TNF/TNFAIP3/TNFRSF1B/TNIP3",22
"GO:0071219","cellular response to molecule of bacterial origin","22/168","183/12916",0.120218579234973,9.24251886546968,12.8914255213556,1.91790536822122e-15,1.17414166642503e-12,8.39033127402885e-13,"ABCA1/CD274/CSF2/CXCL5/CXCL6/GBP3/GBP5/IL1A/IL1B/IL36G/IL6/IRAK2/KMO/NFKBIZ/NLRP3/PTAFR/SERPINE1/TLR2/TNF/TNFAIP3/TNFRSF1B/TNIP3",22
"GO:0071216","cellular response to biotic stimulus","23/168","207/12916",0.111111111111111,8.54232804232804,12.5578623712377,2.41386592605989e-15,1.23147393327822e-12,8.80002349886394e-13,"ABCA1/CD274/CSF2/CXCL5/CXCL6/GBP3/GBP5/IL1A/IL1B/IL36G/IL6/IRAK2/KMO/NFKBIZ/NLRP3/PTAFR/SERPINE1/TLR2/TNF/TNFAIP3/TNFRSF1B/TNIP3/TXNIP",23
"GO:0032496","response to lipopolysaccharide","25/168","270/12916",0.0925925925925926,7.11860670194003,11.6637620235265,9.8822631538831e-15,4.32137250200517e-12,3.08802147876227e-12,"ABCA1/AKAP12/CD274/CSF2/CXCL5/CXCL6/CYP1A1/GBP3/GBP5/IL1A/IL1B/IL36G/IL6/IRAK2/KMO/NFKBIZ/NLRP3/PTAFR/SERPINE1/SOD2/TLR2/TNF/TNFAIP3/TNFRSF1B/TNIP3",25
"GO:0002237","response to molecule of bacterial origin","25/168","285/12916",0.087719298245614,6.74394319131161,11.2562703975616,3.45150044133516e-14,1.32063035636587e-11,9.43712883828219e-12,"ABCA1/AKAP12/CD274/CSF2/CXCL5/CXCL6/CYP1A1/GBP3/GBP5/IL1A/IL1B/IL36G/IL6/IRAK2/KMO/NFKBIZ/NLRP3/PTAFR/SERPINE1/SOD2/TLR2/TNF/TNFAIP3/TNFRSF1B/TNIP3",25
"GO:0019221","cytokine-mediated signaling pathway","28/168","417/12916",0.0671462829736211,5.16227018385292,9.9183968289169,7.05971414539523e-13,2.4010872221172e-10,1.71579953147734e-10,"BIRC3/CCL5/CSF2/CXCL6/DUOX2/EREG/IFIH1/IL1A/IL1B/IL36G/IL6/IL7R/INHBA/IRAK2/IRF7/MX1/NFKBIZ/NLRP3/OAS1/OAS3/PARP14/PARP9/PDGFB/STAT1/TNF/TNFAIP3/TNFRSF1B/TRAF1",28
"GO:0031349","positive regulation of defense response","27/168","441/12916",0.0612244897959184,4.7069970845481,9.09289300388054,1.64007147746547e-11,4.74487883996109e-09,3.39065603928511e-09,"BIRC3/CCL5/CD274/DDX60/EREG/ETS1/GBP1/GBP3/GBP5/IFI16/IFIH1/IL1B/IL6/IRAK2/IRF7/NFKBIZ/NLRP1/NLRP3/OAS1/OAS3/PARP9/RASGRP1/SERPINE1/TLR2/TNF/TNFAIP3/TNIP3",27
