"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","19/108","187/9424",0.101604278074866,8.86591404238463,11.6975863833671,2.55630738485741e-13,3.0419709977313e-11,2.15495076915862e-11,"330/6352/2921/2633/2635/115362/3428/3553/3569/3665/10379/22861/114548/4938/4940/6772/7124/7128/10628",19
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","16/108","119/9424",0.134453781512605,11.7323373793962,12.685317509107,2.88338483197279e-13,3.0419709977313e-11,2.15495076915862e-11,"330/6364/6352/9586/1437/2921/6374/6372/3383/3553/3569/3976/7124/7128/7133/7185",16
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","14/108","95/9424",0.147368421052632,12.8592592592593,12.5081635987786,2.6967548429915e-12,1.89671757290402e-10,1.34364627264839e-10,"6364/6352/1437/2921/6374/6372/3383/3552/3553/3569/4312/7097/7124/7422",14
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","15/108","173/9424",0.0867052023121387,7.56583172768144,9.38447955903705,9.79900130210074e-10,5.16897318685814e-08,3.66173206552186e-08,"6352/3383/64135/3552/3553/3569/3665/10379/4599/4600/114548/4938/4940/6772/7124",15
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","17/108","239/9424",0.0711297071129707,6.20672555400589,8.77840857016177,1.48681099516548e-09,6.27434239959833e-08,4.44478234344207e-08,"715/716/1437/1839/64135/3553/3569/10379/4312/4599/4600/114548/4938/4940/6772/7097/7124",17
"Human Diseases","Infectious disease: viral","hsa05162","Measles","13/108","136/9424",0.0955882352941176,8.34095860566449,9.28437897370802,4.23274006819677e-09,1.4885135906492e-07,1.05447208716481e-07,"64135/3552/3553/3569/3665/10379/4599/4600/4938/4940/6772/7097/7128",13
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","11/108","94/9424",0.117021276595745,10.2111899133176,9.66341375198214,8.34639356428833e-09,2.51584148866405e-07,1.78223742275029e-07,"6364/1437/2921/6374/6372/3553/3569/4312/4322/7124/7128",11
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","17/108","298/9424",0.0570469798657718,4.97787720606513,7.5129587761437,4.10175023018165e-08,1.08183662321041e-06,7.66379648270783e-07,"6364/6352/1437/2921/6374/6372/3552/3553/56300/3569/3575/3624/83729/3976/7124/7133/3604",17
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","13/108","180/9424",0.0722222222222222,6.30205761316872,7.73290117599193,1.23701650634602e-07,2.90011647598901e-06,2.05446016258638e-06,"330/6352/64135/3553/3569/3665/10379/3690/4938/4940/6772/7097/7124",13
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","14/108","216/9424",0.0648148148148148,5.6556927297668,7.45281366756997,1.51156694806779e-07,3.18940626042303e-06,2.25939480658553e-06,"19/6352/2921/1543/3383/3553/3569/3665/4312/114548/4973/6648/7097/7124",14
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","9/108","78/9424",0.115384615384615,10.0683760683761,8.65875932841869,2.29972385898897e-07,4.41128849315157e-06,3.12498361699937e-06,"715/716/6374/6372/3552/3553/3569/114548/7124",9
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","9/108","101/9424",0.0891089108910891,7.77557755775578,7.370906445931,2.11644417551594e-06,3.72141434194885e-05,2.63627256950231e-05,"1282/3383/3552/3553/3569/5054/6772/7124/7422",9
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","9/108","105/9424",0.0857142857142857,7.47936507936508,7.18843215132514,2.93194632089637e-06,4.75877441314719e-05,3.37114475762984e-05,"597/330/2921/3383/3553/5328/7124/7128/7185",9
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","7/108","66/9424",0.106060606060606,9.25476992143659,7.24564669767753,9.53564499610498e-06,0.000143715792441296,0.000101809142063677,"3552/3553/3569/4094/6772/7097/7124",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","8/108","100/9424",0.08,6.98074074074074,6.47359577318542,1.78146900638406e-05,0.00022223038465565,0.000157429357052144,"6364/6352/2921/6374/6372/3569/7124/7133",8
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","8/108","100/9424",0.08,6.98074074074074,6.47359577318542,1.78146900638406e-05,0.00022223038465565,0.000157429357052144,"1437/3552/3553/3569/3575/3673/3690/7124",8
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","11/108","201/9424",0.054726368159204,4.77538234752165,5.82525040353323,1.79048177210713e-05,0.00022223038465565,0.000157429357052144,"597/330/1437/51513/3569/4094/64332/5327/5328/860/7185",11
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","8/108","103/9424",0.0776699029126214,6.77741819489392,6.34764889162789,2.2125078302634e-05,0.000259355084547543,0.000183728720407838,"1282/1437/2921/3553/3569/3918/7097/7124",8
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","8/108","109/9424",0.073394495412844,6.40434930343187,6.11022164137605,3.34034556570004e-05,0.000370954165454057,0.000262786188548147,"6352/3553/3569/3665/10379/6772/7097/7124",8
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","9/108","156/9424",0.0576923076923077,5.03418803418803,5.47037573279546,7.16559844290757e-05,0.000755970635726748,0.000535534199417302,"3434/3665/10379/4599/4600/4938/4940/6772/7124",9
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","10/108","205/9424",0.0487804878048781,4.25654923215899,5.07556512467267,0.000115467441960493,0.0011601728692221,0.000821873521723812,"3383/3569/3665/10379/4938/4940/6772/7097/7124/7128",10
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","8/108","142/9424",0.0563380281690141,4.91601460615545,5.06243460891042,0.000215965253349362,0.00207130311166888,0.0014673237308904,"3383/3552/3553/3690/5155/5327/7124/7422",8
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","5/108","50/9424",0.1,8.72592592592593,5.89745724268299,0.000253224904093162,0.00232306325059379,0.001645672145594,"3383/3553/3569/7097/7124",5
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","6/108","83/9424",0.072289156626506,6.30789825970549,5.22945804833062,0.000363725821779551,0.00319775618314522,0.00226530994266212,"6352/3428/3553/3569/3665/114548",6
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","9/108","196/9424",0.0459183673469388,4.00680272108844,4.58005729297377,0.00040164434597222,0.00338987828000554,0.0024014104053918,"1437/2921/3383/3569/3665/10379/5155/6772/7422",9
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","5/108","56/9424",0.0892857142857143,7.79100529100529,5.48777598287637,0.000432338869272771,0.00350859620832902,0.00248551090836977,"2921/3553/3569/7097/7124",5
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","8/108","168/9424",0.0476190476190476,4.15520282186949,4.44285339788263,0.000669592580439729,0.00523274201751048,0.00370690629327258,"330/3552/3553/10379/114548/6772/7124/7128",8
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","4/108","37/9424",0.108108108108108,9.43343343343343,5.53392931757067,0.000805250119124207,0.00606813482625742,0.00429870364344501,"3383/3553/3569/7124",4
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","12/108","362/9424",0.0331491712707182,2.89257213014119,3.95354266726401,0.000863697933738049,0.00628414703512856,0.0044517280069257,"1282/9586/2069/9965/3569/3575/3673/3690/3918/5155/7097/7422",12
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","6/108","103/9424",0.058252427184466,5.08306364617044,4.48606168945259,0.00114565046017999,0.0080577415699326,0.00570815317001961,"6352/3553/3569/5054/7097/7124",6
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","6/108","105/9424",0.0571428571428571,4.98624338624339,4.42247654973735,0.00126593392377973,0.00861651799733946,0.00610399379207884,"3553/3569/10379/114548/6772/7124",6
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","11/108","333/9424",0.033033033033033,2.8824379935491,3.76555244748847,0.00146869044039287,0.00968417759134047,0.00686033034657195,"1282/9586/10379/3673/3690/3918/4599/4600/6772/7124/7422",11
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","4/108","45/9424",0.0888888888888889,7.75637860082305,4.89140586620087,0.00169346891419748,0.010827937602899,0.00767057690003322,"3552/3553/3569/7124",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","7/108","154/9424",0.0454545454545455,3.96632996632997,3.99605710499591,0.00190747169031256,0.011805124619052,0.00836282212973503,"1282/3383/3673/3690/3918/5155/7422",7
