"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04668","TNF signaling pathway",116,0.682837810178649,2.58508042328757,1e-10,4.4e-09,2.5e-09,1799,"tags=43%, list=12%, signal=38%","330/2921/3569/6364/3383/4790/1437/3553/7128/6372/9586/8837/1540/6374/840/7424/7185/182/6352/3976/7133/3659/5293/10000/1326/23118/6347/3600/4792/1435/7124/6868/1385/83737/843/6376/4318/3725/468/257397/7187/8737/4217/9252/2920/331/329/5599/841/6401"
"hsa00190","Oxidative phosphorylation",96,-0.684401092970511,-2.56610726857513,1e-10,4.4e-09,2.5e-09,3430,"tags=66%, list=23%, signal=51%","4729/54205/27068/525/6390/440567/10063/64077/7386/6389/51606/1355/529/1345/1340/29796/51079/51382/4723/1327/4710/1349/9296/1350/4700/4725/4704/1353/4705/4731/4702/4701/4714/4718/4696/7384/155066/4712/4707/4728/1337/4716/126328/4708/533/1537/27089/10312/9377/527/1329/9114/4713/4726/4706/4722/4717/374291/10975/1351/54539/4695/537"
"hsa04060","Cytokine-cytokine receptor interaction",175,0.640733766169306,2.53792627087352,1e-10,4.4e-09,2.5e-09,958,"tags=25%, list=7%, signal=23%","56300/3552/2921/3569/6364/3455/1437/3553/9180/6372/3624/3604/3575/6374/3459/650/6352/3557/3976/7133/8795/8797/3601/53833/3589/3556/3977/3597/3460/7042/6347/3600/3566/51561/1435/7124/83729/56477/9235/133396/8740/3592/6376"
"hsa03010","Ribosome",164,-0.621767928580869,-2.49388056710876,1e-10,4.4e-09,2.5e-09,4154,"tags=60%, list=28%, signal=43%","3921/6128/6224/51121/64983/6204/51258/65080/6192/6228/6166/29093/6152/64968/29088/6164/9801/6202/25873/6134/64951/51081/6138/26589/6201/6170/10884/6208/51253/65005/9045/54534/57129/6235/740/6217/11224/51649/6143/64976/6159/51116/6187/28998/79590/6231/63875/6142/51069/6193/6132/6176/63931/219927/6223/6227/64928/7311/51642/6137/6141/6181/51318/64432/51065/51264/11222/116832/55052/65993/65003/6203/28957/64960/10573/6234/118487/116541/2197/122704/84545/90480/116540/54948/64963/6183/6209/6150/6182/64978/128308/29074/51073/55168/64949/54998/64975/64981"
"hsa04064","NF-kappa B signaling pathway",88,0.684999753549348,2.47612721610193,1e-10,4.4e-09,2.5e-09,1657,"tags=39%, list=11%, signal=34%","597/330/7706/2921/3383/4790/3553/5328/7128/8837/1540/1647/7185/4067/23118/7189/4792/5971/7124/598/1459/8740/5336/1457/4615/257397/7187/8737/84433/4050/2920/331/4791/329"
"hsa04621","NOD-like receptor signaling pathway",147,0.632310133196185,2.4507814073128,1e-10,4.4e-09,2.5e-09,1735,"tags=35%, list=12%, signal=32%","330/2921/3569/4790/6772/3455/2633/3553/7128/4940/3428/2635/10379/10628/4938/6352/115362/6773/10135/10010/23118/81631/6347/3716/7189/22861/4792/7124/598/3665/84168/114548/3710/834/3725/4615/257397/118429/24145/7187/115361/8737/9140/3709/3708/23710/2920/331/329/29110/5599/841"
"hsa04630","JAK-STAT signaling pathway",115,0.645469100954052,2.43948047673794,1e-10,4.4e-09,2.5e-09,1996,"tags=42%, list=14%, signal=36%","3569/6772/3455/1437/5155/9180/316/10379/4609/6776/3575/3459/3976/6773/5293/3601/53833/3589/10000/3977/8835/3597/3460/3716/3600/3566/51561/598/1956/3717/133396/3592/9306/6775/1026/1438/6655/10254/5771/6774/4170/3454/1440/50615/3588/3574/6654/6777"
"hsa05164","Influenza A",139,0.607909164404534,2.34230243209905,1e-10,4.4e-09,2.5e-09,980,"tags=25%, list=7%, signal=24%","3552/4599/7706/3569/3383/4790/6772/3455/64135/3553/4940/10379/3459/5610/4938/6352/8795/8797/6773/103/10241/5293/10000/4600/3460/402569/6347/3716/4792/7124/3665/3717/114548/3592/834"
"hsa05162","Measles",107,0.631619411963322,2.36384213677928,1.4900654351756e-10,5.8278114797979e-09,3.31125652261244e-09,1839,"tags=39%, list=12%, signal=35%","3552/4599/3569/4790/6772/3455/64135/3553/7128/4940/7097/10379/6776/5610/4938/6773/103/5293/10000/4600/23118/3716/7189/4792/598/3665/1459/3592/1457/3725/4615/7187/9367/1021/3305/868/29110/5599/6774/841/2932/3454"
"hsa05200","Pathways in cancer",448,0.423637920516862,1.83889542730004,2.38403501005279e-10,8.39180323538581e-09,4.76807002010558e-09,2245,"tags=27%, list=15%, signal=24%","330/3569/4790/6772/3455/4824/10125/5155/3918/2113/7422/4609/7039/6776/3673/3575/1647/3459/650/840/7424/25780/7185/182/9965/2308/6773/5293/3601/4088/1488/10000/4233/3597/1282/3460/861/7042/3685/2247/3716/3600/7189/3566/5337/51561/4792/598/4312/3912/1956/3910/5747/5366/3717/5880/3592/3675/5336/405/1284/4318/3725/6775/8323/673/1288/1026/3915/7187/1030/1438/3908/6655/4780/4853/867/5371/6934/1021/2323/7296/9252/51426/8648/3688/4286/331/4791/329/1399/5599/6774/841/112399/2932/3454/2149/2034/4313/3574/7188/3845/3914/8202/6654/6513/23236/6777/3909/624/4087/1286/2246/3480/10672/6789/815/2335/3572/6093"
