,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
IL36G,56.96419916312587,2.374552176989875,0.25817109753231854,9.197591053710504,3.660639613825569e-20,5.258874869221813e-16,True
SOD2,1895.3298378331108,1.5864556700884362,0.1780006771516356,8.912638398206559,4.98322955557966e-19,3.2684220873757268e-15,True
IL1A,1383.7049233944897,3.2519719094879043,0.36630767737211145,8.877706120760358,6.825328039904761e-19,3.2684220873757268e-15,True
IRAK2,689.1724541328882,1.7467885207264402,0.1992841627634023,8.765315299040063,1.8625465263067755e-18,6.689335849230784e-15,True
BCL2A1,95.0341443715552,2.2874623537257093,0.2667210632402717,8.576234384852773,9.802968250646325e-18,2.816588837775702e-14,True
BIRC3,916.275869261304,1.6726360947041514,0.20444423140797677,8.181380727570337,2.806097644185117e-16,5.841385746788701e-13,True
MX1,1057.245796910734,2.891869895814594,0.35354370017151243,8.179667448215536,2.846282905994773e-16,5.841385746788701e-13,True
SAMD9L,353.9100383515628,1.8011416383923013,0.2236720026019966,8.052602102361753,8.10520720580809e-16,1.4554925839829877e-12,True
SAMD4A,355.80993186037716,1.2345019179883585,0.1539672954011183,8.017948972684183,1.0752545483000478e-15,1.716345204542054e-12,True
PARP9,748.4381408158815,1.4699836928645886,0.18385893773659312,7.995171249007061,1.2939389148883845e-15,1.858872645128653e-12,True
TRIM25,1516.2224851944068,0.8750139187978528,0.11155874885904697,7.8435257453758425,4.380692591499231e-15,5.721184524497996e-12,True
CXCL3,902.7213955687275,1.9311062180126446,0.2474848002642437,7.80292856753534,6.048679156262803e-15,7.241277063239285e-12,True
DRAM1,662.5451796683665,1.0219113636814767,0.1337426077940733,7.6408810964336675,2.1574022937819202e-14,2.3840954886516204e-11,True
XDH,231.8162014660625,1.0747139190700432,0.1413080412548605,7.60546894236337,2.838726715535613e-14,2.912939142527473e-11,True
IL6,303.5857489614313,3.3358201231952633,0.44479792383969646,7.499630606183946,6.399792740012865e-14,6.062331889925691e-11,True
DTX3L,766.4091653190787,1.3395101539553025,0.1787775724422264,7.492607353689052,6.751866228512534e-14,6.062331889925691e-11,True
PTX3,49.029677039014764,2.971583884391978,0.4011667946697951,7.407352562262592,1.2884560051686763e-13,1.0888211158972472e-10,True
DDX58,585.5242087622021,1.3920240737981198,0.1883581281526601,7.390305305380371,1.4649205583616257e-13,1.1691693745235065e-10,True
BPGM,485.2101646429003,0.7141376568569185,0.09691905906142267,7.368392386107795,1.726978539146967e-13,1.305777562809754e-10,True
DDX60,455.4481871877488,1.8779916270818824,0.25587997597267315,7.339345800479689,2.1464039366332454e-13,1.5417619476836602e-10,True
CCL20,497.42691941957094,2.5510071205477156,0.34829239418220315,7.324326236114132,2.4010194511185374e-13,1.6425259730842336e-10,True
SDC4,3356.795555359198,0.8425865854367429,0.1153258505279536,7.306138056467314,2.749297027839863e-13,1.7952909591794306e-10,True
