Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),56/621,2.678923243686381e-29,6.268680390226131e-26,0,0,8.437553588987218,555.1028769892836,CXCL6;IFITM1;CSF2;IFIT1;CXCL3;TNF;CXCL2;IFIT3;CX3CL1;CXCL5;ICAM1;GRB10;IL11;MMP1;TRAF1;TNFRSF1B;MMP9;VAV1;EREG;IL1A;OAS1;IL23A;IL1B;OAS3;IRF1;IRF7;LTB;IRF9;BIRC3;PTAFR;PDGFB;IFI6;IL20RB;SAMHD1;IRAK2;CCL5;CCL2;FYN;GBP1;DUOX2;STAT5A;IL32;TNFSF14;CCL20;STAT1;TNFRSF9;MX2;MX1;LIF;IL36G;SOD2;VEGFA;NFKBIA;IL6;IL7R;XAF1
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),43/482,2.4684626251855194e-22,2.8881012714670577e-19,0,0,7.934763882774066,394.7805014850756,CSF2;PTAFR;IL20RB;IFIT1;TNF;CXCL2;CX3CL1;ICAM1;IFI16;IRAK2;CCL5;ANKRD1;GRB10;HAS2;CCL2;FYN;GBP1;DUOX2;GBP4;NKX3-1;GBP3;STAT5A;IL32;GBP5;IL11;DUSP1;CCL20;STAT1;MMP1;LIF;IL36G;TNFRSF1B;MMP9;VAV1;EREG;VEGFA;IL1A;IL6;OAS1;IL23A;IL1B;IRF1;TLR2
KEGG_2021_Human,TNF signaling pathway,22/112,2.9617380390570493e-19,6.604675827097219e-17,0,0,18.52586872586873,790.3754454269276,CXCL6;CSF2;CCL20;LIF;TNFAIP3;TRAF1;CXCL3;TNFRSF1B;TNF;CXCL2;MMP9;CX3CL1;CXCL5;ICAM1;NFKBIA;IL6;IL1B;IRF1;CCL5;CCL2;BIRC3;CREB5
KEGG_2021_Human,Rheumatoid arthritis,19/93,3.931077843127963e-17,4.383151795087679e-15,0,0,19.25185681865071,727.2395253321122,CXCL6;IL11;CSF2;MMP1;CCL20;CXCL3;CXCL2;TNF;CXCL5;ICAM1;VEGFA;IL1A;IL6;IL23A;IL1B;CCL5;CCL2;LTB;TLR2
GO_Biological_Process_2021,defense response to symbiont (GO:0140546),21/124,4.8609865695497216e-17,3.791569524248783e-14,0,0,15.382225541448843,577.798002806326,RTP4;IFITM1;APOBEC3G;DDX58;STAT1;MX2;MX1;IFI6;IFIT1;SAMHD1;IFI44L;IFIT3;IFIH1;IL6;OAS1;IFI16;IRF1;OAS3;IRF7;NLRP1;TLR2
KEGG_2021_Human,NOD-like receptor signaling pathway,23/181,1.0564750450130514e-15,7.853131167930349e-14,0,0,11.03677264252772,380.5902848976132,GBP5;STAT1;TNFAIP3;CXCL3;TNF;CXCL2;NFKBIA;IL6;OAS1;IFI16;IL1B;OAS3;CCL5;IRF7;TXNIP;NLRP3;CCL2;NLRP1;GBP1;IRF9;GBP4;BIRC3;GBP3
GO_Biological_Process_2021,defense response to virus (GO:0051607),21/133,2.1508536499099023e-16,1.258249385197293e-13,0,0,14.13966346153846,510.09538223614777,RTP4;IFITM1;APOBEC3G;DDX58;STAT1;MX2;MX1;IFI6;IFIT1;SAMHD1;IFI44L;IFIT3;IFIH1;IL6;OAS1;IFI16;IRF1;OAS3;IRF7;NLRP1;TLR2
KEGG_2021_Human,Cytokine-cytokine receptor interaction,27/295,1.2805634211184195e-14,7.13914107273519e-13,0,0,7.71502232929839,246.7950094969633,CXCL6;CSF2;IL20RB;CXCL3;TNF;CXCL2;CX3CL1;CXCL5;CCL5;CCL2;IL32;IL11;TNFSF14;CCL20;TNFRSF9;LIF;IL36G;INHBA;TNFRSF1B;INHBE;IL1A;IL6;BMP2;IL23A;IL1B;LTB;IL7R
GO_Biological_Process_2021,cellular response to lipopolysaccharide (GO:0071222),19/120,5.685728692532121e-15,2.6609210281050318e-12,0,0,14.085934547653238,462.0301627493868,CD274;CXCL6;SERPINE1;IL36G;TNFAIP3;PDCD1LG2;CXCL3;TNFRSF1B;TNF;CXCL2;CXCL5;IL1A;IL6;IL1B;CCL5;TNIP3;ANKRD1;NLRP3;CCL2
GO_Biological_Process_2021,cellular response to molecule of bacterial origin (GO:0071219),18/115,3.694493440450057e-14,1.4408524417755223e-11,0,0,13.844851240641292,428.21221995554464,CD274;CXCL6;SERPINE1;IL36G;TNFAIP3;PDCD1LG2;CXCL3;TNFRSF1B;CXCL2;CXCL5;IL1A;IL6;IL1B;TNIP3;ANKRD1;NLRP3;CCL2;TLR2
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),14/65,2.714970934679972e-13,7.941289983938918e-11,0,0,20.221194095615772,585.0967116601123,IFITM1;STAT1;MX2;MX1;IFI6;IFIT1;SAMHD1;IFIT3;OAS1;IRF1;OAS3;IRF7;XAF1;IRF9
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),14/65,2.714970934679972e-13,7.941289983938918e-11,0,0,20.221194095615772,585.0967116601123,IFITM1;STAT1;MX2;MX1;IFI6;IFIT1;SAMHD1;IFIT3;OAS1;IRF1;OAS3;IRF7;XAF1;IRF9
