Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cytokine-cytokine receptor interaction,0.6620127495392418,2.6036091838235285,0.0,0.0,0.0,43/154,6.89%,IL36G;IL1A;CXCL3;IL6;CCL20;IFNAR2;CSF2;IL1B;OSMR;CXCL6;INHBA;TNFRSF9;IL7R;CXCL5;IFNGR1;BMP2;CCL5;TNFRSF1B;LIF;IL1RN;TNFRSF10B;TNFRSF10A;IL15RA;IL20RB;IL11;IL1RAP;LIFR;IL13RA1;IFNGR2;TGFB2;CCL2;IL15;IL23A;IL4R;TNF;CSF1;INHBE;CCL28;IL32;TNFSF14;IL31RA;IL12A;CX3CL1
prerank,TNF signaling pathway,0.6823531022210856,2.5458885637535293,0.0,0.0,0.0,46/109,12.38%,BIRC3;CXCL3;IL6;CCL20;ICAM1;NFKB1;CSF2;IL1B;TNFAIP3;CXCL6;CREB5;CFLAR;CXCL5;CASP7;VEGFC;TRAF1;CCL5;JAG1;TNFRSF1B;LIF;IRF1;PIK3CD;AKT3;MAP3K8;TAB2;CCL2;IL15;NFKBIA;TNF;CSF1;CREB1;ITCH;CASP10;CX3CL1;MMP9;JUN;ATF4;TAB3;TRAF3;RIPK1;MAP3K5;RPS6KA5;CXCL2;BIRC2;MAPK8;CASP8
prerank,Herpes simplex virus 1 infection,0.5798212341292087,2.5378414588919274,0.0,0.0,0.0,220/439,21.95%,BIRC3;IL6;DDX58;NFKB1;STAT1;IFNAR2;IFIH1;IL1B;OAS3;TLR2;SP100;ITGA5;ZFP28;IRF9;TAP1;IFNGR1;ZNF285;EIF2AK2;ZNF641;OAS1;CCL5;ZNF549;ZNF432;STAT2;ITGB3;PIK3CD;ZNF674;ZNF160;ZNF561;ZFP37;ZNF627;ZNF222;ZNF624;AKT3;ZNF671;ZNF350;IFNGR2;TAB2;ZNF419;ZNF543;ZNF311;ZNF773;ZNF583;ZNF470;ZNF615;ZNF304;CCL2;JAK1;TRAF6;ZFP90;ZNF473;ZNF430;RBAK;NFKBIA;ZNF623;TNF;ZNF573;ZNF175;BCL2L1;ZNF229;IRF7;ZNF550;ZNF585B;ZNF567;ZFP1;ZNF616;ZNF284;ZNF791;ZNF382;ZNF436;ZNF585A;ZNF14;ZNF2;ZNF568;ZNF25;ZNF211;ZNF570;ZNF595;ZNF416;TNFSF14;ZNF184;JAK2;ZNF426;SRPK1;IL12A;ZNF562;ZNF12;ZNF19;ZNF772;ZNF613;ZNF57;ZNF649;ZNF766;ZNF555;TAP2;ZNF548;ZNF267;ZNF621;ZNF44;ZNF845;ZNF7;ZNF699;ZNF417;ZNF17;MYD88;ZNF619;ZNF441;ZNF571;ZNF3;ZNF283;ZNF484;ZNF805;ZNF700;TRAF3;C3;ZNF564;ZNF606;ZNF317;ZNF254;ZNF614;ZNF227;ZNF510;ZNF765;ZNF233;ZNF529;POU2F3;ZNF136;HCFC2;PML;ZNF611;ZNF91;ZNF460;ZNF383;ZNF354A;ZNF565;ZNF235;ZNF490;TSC1;ZNF708;BIRC2;ZNF182;ZNF23;ZNF343;TBK1;CASP8;ZNF30;ZNF83;ZNF286A;ZNF256;ZNF620;IFNAR1;ZNF841;ZNF300;TRAF5;ZNF155;ZNF333;HLA-DQA1;HLA-F;ZNF879;ZNF577;EIF2AK3;ZNF181;ZNF721;ZNF223;ZNF836;ZNF33A;ZNF669;ZSCAN32;IKBKE;ZNF224;ZNF45;ZNF169;ZNF527;TLR3;ZFP30;ZFP82;ZNF420;ZNF189;ZNF221;ZNF850;ZNF630;ZNF823;ZNF799;ZNF471;ZNF547;ZNF226;ZNF792;ZNF320;ZNF10;ZNF816;ZNF461;ZNF607;ZNF225;ZNF337;TICAM1;ZNF486;ZNF737;ZNF790;PIK3CA;ZNF569;HLA-B;PIK3CB;ZNF439;RNASEL;ZNF558;ZNF250;OAS2;ZNF587;ZNF600;PTPN11;ZNF418;ZNF79;ZNF605;ZNF195;ZNF37A;IKBKB;ZNF778;ZNF140;ZNF551;ZNF853
prerank,NF-kappa B signaling pathway,0.6947525063014774,2.512805198766259,0.0,0.0,0.0,35/85,11.87%,BCL2A1;BIRC3;TRIM25;CXCL3;DDX58;ICAM1;NFKB1;IL1B;PLAU;TNFAIP3;CFLAR;CYLD;GADD45A;TRAF1;LYN;TAB2;TRAF6;NFKBIA;RELB;TNF;BCL2L1;CSNK2A2;TNFSF14;PLCG2;CSNK2A1;MYD88;TAB3;TRAF3;RIPK1;CARD11;LTB;CXCL2;XIAP;NFKB2;BIRC2
prerank,Oxidative phosphorylation,-0.6623225964606406,-2.49061734868208,0.0,0.0,0.0,63/95,24.22%,ATP6AP1;NDUFA2;NDUFB11;COX8A;UQCR11;NDUFS7;NDUFC1;NDUFS3;NDUFAB1;NDUFS6;NDUFB7;ATP6V0D1;COX5B;ATP6V0C;COX5A;TCIRG1;UQCRQ;CYC1;ATP6V0B;NDUFB2;NDUFA11;NDUFB10;COX6A1;NDUFS8;NDUFB1;NDUFB6;ATP6V0E2;UQCRC1;NDUFA3;NDUFA4;NDUFC2;NDUFB8;NDUFA7;NDUFA8;NDUFV3;NDUFA10;COX11;NDUFA9;NDUFS5;NDUFA6;COX7C;ATP6V1F;COX7B;NDUFB4;COX4I1;NDUFV1;ATP6V1D;NDUFA13;UQCR10;COX6B1;COX6C;ATP6V1E1;COX15;ATP6V1H;SDHA;UQCRFS1;LHPP;UQCRHL;COX17;SDHB;ATP6V1B1;PPA2;NDUFV2
prerank,NOD-like receptor signaling pathway,0.6295807603966188,2.4423459633960043,0.0,0.0,0.0,51/140,12.38%,BIRC3;CXCL3;IL6;NFKB1;STAT1;IFNAR2;GBP1;IL1B;TNFAIP3;OAS3;IFI16;GBP3;IRF9;TXNIP;OAS1;CCL5;GBP5;STAT2;NAMPT;TANK;TAB2;CCL2;JAK1;TRAF6;NLRP1;NFKBIA;TNF;BCL2L1;IRF7;NLRP3;ANTXR1;ITPR3;CASP1;JUN;MYD88;TAB3;ANTXR2;PANX1;TRAF3;GBP4;RIPK1;ATG12;ITPR2;ITPR1;GABARAPL1;CXCL2;XIAP;BIRC2;TBK1;MAPK8;CASP8
prerank,Inflammatory bowel disease,0.7616600679998683,2.4331389915870534,0.0,0.0,0.0,17/47,7.92%,IL1A;IL6;NFKB1;STAT1;IL1B;TLR2;IFNGR1;SMAD3;IFNGR2;TGFB2;MAF;IL23A;IL4R;TNF;IL12A;STAT4;JUN
prerank,Influenza A,0.6174613507688748,2.41362411377656,0.0,0.0,0.0,36/138,6.98%,IL1A;MX1;TRIM25;IL6;DDX58;ICAM1;NFKB1;STAT1;IFNAR2;IFIH1;IL1B;OAS3;IRF9;IFNGR1;EIF2AK2;OAS1;CCL5;TNFRSF10B;TNFRSF10A;STAT2;ADAR;CALCOCO2;PIK3CD;AKT3;MX2;IFNGR2;KPNA7;CCL2;JAK1;NFKBIA;TNF;IRF7;NLRP3;JAK2;IL12A;CASP1
prerank,Pertussis,0.6974749637671112,2.411741924860883,0.0,0.0,0.0,20/63,9.09%,IL1A;IL6;NFKB1;IL1B;CXCL6;ITGA5;C1R;CXCL5;CASP7;C1S;IRF1;TRAF6;IL23A;TNF;NLRP3;IL12A;CASP1;JUN;MYD88;C3
prerank,JAK-STAT signaling pathway,0.6388943076336258,2.3920780629129346,0.0,0.0,0.0,46/107,14.26%,IL6;STAT1;IFNAR2;CSF2;PDGFB;OSMR;AOX1;IRF9;MYC;STAT5A;IL7R;IFNGR1;LIF;STAT2;PIK3CD;IL15RA;IL20RB;IL11;AKT3;LIFR;SOCS2;IL13RA1;IFNGR2;JAK1;IL15;IL23A;IL4R;BCL2L1;EGFR;JAK2;IL12A;SOCS6;STAT4;CDKN1A;CSF2RA;SOS2;STAM2;PTPN2;STAT3;MCL1;IFNAR1;IL7;CSF3;IL10RB;SOS1;STAT5B
prerank,Ribosome,-0.5952035509247624,-2.388812669967291,0.0,0.0,0.0,74/126,30.20%,MRPL34;MRPS18A;MRPL4;MRPL18;MRPL12;MRPL23;RPS15;MRPS12;MRPS11;MRPL16;FAU;RPS28;MRPL28;MRPS15;RPS9;MRPL11;MRPL20;MRPL3;MRPL27;RPS27L;MRPL35;RPLP2;RPL18;RPL13;UBA52;MRPL14;RPS21;RPS19;MRPL21;MRPS14;RPLP1;RPL8;MRPL2;RPS5;RPL18A;MRPL17;RPS26;MRPL24;MRPL13;RPS2;MRPS2;RPL29;RPL19;RPL35;RPS16;RPS29;RPL14;MRPL9;RPS14;RPL39;RPS7;RPL15;MRPS7;RPL10;RPL36;RPS8;MRPL19;RPL34;MRPL15;MRPS6;RPL24;MRPL22;RPL36AL;RPS23;RPS4Y1;RPS10;MRPL32;RPL26L1;RPS20;RPL6;RPSA;RPL3;MRPL1;MRPS16
prerank,Viral protein interaction with cytokine and cytokine receptor,0.7269952090450273,2.382733034799941,0.0,0.0,0.0,16/46,6.89%,CXCL3;IL6;CCL20;CXCL6;CXCL5;CCL5;TNFRSF1B;TNFRSF10B;TNFRSF10A;IL20RB;CCL2;TNF;CSF1;CCL28;TNFSF14;CX3CL1
prerank,Measles,0.6262698156419002,2.3502766471084064,0.0,0.0,0.0,43/111,13.11%,IL1A;MX1;IL6;DDX58;NFKB1;STAT1;IFNAR2;IFIH1;IL1B;TNFAIP3;OAS3;TLR2;IRF9;STAT5A;EIF2AK2;OAS1;STAT2;ADAR;PIK3CD;AKT3;MX2;TAB2;JAK1;TRAF6;NFKBIA;BCL2L1;IRF7;CSNK2A2;IL12A;CSNK2A1;JUN;MYD88;TRAF3;RAB9A;CDK6;HSPA1L;CBLB;TBK1;MAPK8;STAT3;CASP8;GSK3B;IFNAR1
prerank,Rheumatoid arthritis,0.6725384866252815,2.3497141371977626,0.0,0.0,0.0,20/73,5.02%,IL1A;CXCL3;IL6;CCL20;ICAM1;CSF2;IL1B;TLR2;CXCL6;VEGFA;CXCL5;CCL5;IL11;TGFB2;CCL2;IL15;IL23A;TNF;CSF1;MMP1
prerank,Leishmaniasis,0.6749982345058799,2.3022141779859404,0.0,0.0,0.0,20/59,9.09%,IL1A;NFKB1;STAT1;IL1B;TLR2;IFNGR1;IFNGR2;TAB2;TGFB2;JAK1;TRAF6;EEF1A1;NFKBIA;TNF;NCF2;JAK2;IL12A;JUN;MYD88;C3
prerank,Osteoclast differentiation,0.5965629570371073,2.23058965766447,0.0,0.0,0.0,29/98,8.50%,IL1A;NFKB1;STAT1;IFNAR2;IL1B;IRF9;CYLD;IFNGR1;STAT2;ITGB3;PIK3CD;FYN;AKT3;IFNGR2;TAB2;TGFB2;JAK1;TRAF6;NFKBIA;RELB;TNF;CSF1;FOSL2;NCF2;GAB2;CREB1;PLCG2;JUN;TEC
prerank,IL-17 signaling pathway,0.6212063753098539,2.1978593397900004,0.0,0.0,0.0,30/77,13.58%,CXCL3;IL6;CCL20;NFKB1;CSF2;IL1B;TNFAIP3;CXCL6;CXCL5;TAB2;CCL2;TRAF6;NFKBIA;TNF;MMP1;USP25;MMP13;MAPK6;MMP9;JUN;TAB3;TRAF3;CXCL2;TBK1;MAPK8;CASP8;FOSL1;GSK3B;CSF3;TRAF5
